"date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","sqft_above","sqft_basement","yr_built","yr_renovated","city"
2014-06-12,235000,3,1.75,1640,9581,1.5,0,0,4,1200,500,1920,0,"aa"
2014-05-08,1500000,5,2.75,3650,5760,3,0,0,4,2540,1120,1919,1985,"aa"
2014-06-20,405000,3,1,1160,7200,1,0,0,5,1160,0,1982,0,"ab"
2014-06-02,559900,4,2.5,2260,10414,1,0,0,4,1320,860,1975,0,"ac"
2014-06-09,480000,4,2.5,2330,4750,2,0,0,3,2320,0,1999,0,"ad"
2014-05-23,550000,3,2.5,2110,2805,2,0,0,3,1800,350,2011,0,"aa"
2014-05-13,413000,3,1.5,1540,17335,1,0,0,3,1510,0,1968,1997,"ae"
2014-06-03,312000,5,3,2150,5000,2,0,0,3,2150,0,2014,0,"af"
2014-07-01,825000,6,2.75,3650,6930,2,0,0,3,3610,0,2005,0,"ag"
2014-05-21,495000,3,3.5,2370,7620,2,0,0,3,2370,0,2004,2003,"ad"
2014-05-18,488000,2,1.75,1740,4064,2,0,0,3,1740,0,1920,1968,"aa"
2014-07-08,330000,3,2.25,2120,9583,1,0,0,3,1270,850,1988,2000,"ad"
2014-06-27,285000,3,2.5,2437,5050,1,0,0,4,1610,870,1940,2001,"aa"
2014-05-30,740000,3,2.25,1840,6120,1,0,2,3,1080,820,1986,0,"aa"
2014-06-27,589500,3,2.25,1300,7200,2,0,0,4,1300,0,1989,0,"aa"
2014-05-28,7e+05,4,2.5,3290,6465,2,0,0,3,3280,0,2003,0,"ah"
2014-07-08,229629.5,2,1,1020,8100,1,0,0,3,1010,0,1940,1996,"ai"
2014-06-16,699850,4,2.5,2961,10382,2,0,2,3,2890,0,1948,1994,"aa"
2014-06-06,585000,3,1.5,1720,6275,1,0,0,3,1280,400,1952,2008,"aa"
2014-05-30,659000,4,2,2360,28500,1,0,0,4,2430,0,1978,2000,"aj"
2014-06-26,460000,4,2.5,3060,12429,2,0,0,3,3060,0,1951,1994,"ak"
